sim_time,mid_price,last_price,last_size,best_bid_price,best_bid_size,best_ask_price,best_ask_size,close_price_buy,close_price_sell,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size
2020-10-29 09:30:25,147.365,147.35,1,147.32,1,147.41,4,147.41,147.32,147.32,1,147.3,2,,,,,,,,,,,,,,,,,147.41,4,147.43,2,147.44,7,147.47,5,147.54,1,147.55,2,147.56,2,147.57,2,147.58,2,147.59,2
2020-10-29 09:30:26,147.365,147.41,1,147.32,3,147.41,4,147.41,147.32,147.32,3,147.3,2,,,,,,,,,,,,,,,,,147.41,4,147.43,2,147.44,7,147.47,5,147.54,1,147.55,2,147.56,2,147.57,2,147.58,2,147.59,2
2020-10-29 09:30:27,147.46,147.41,1,147.41,3,147.51,3,147.51,147.41,147.41,3,147.36,3,147.35,4,147.34,1,147.33,5,147.32,3,147.3,2,,,,,,,147.51,3,147.54,1,147.55,2,147.56,2,147.57,2,147.58,2,147.59,2,147.61,1,147.65,2,147.66,1
2020-10-29 09:30:28,147.46,147.46,1,147.41,3,147.51,3,147.51,147.41,147.41,3,147.36,3,147.35,4,147.34,1,147.33,5,147.32,3,147.3,2,,,,,,,147.51,3,147.54,1,147.55,2,147.56,2,147.57,2,147.58,2,147.59,2,147.61,1,147.65,2,147.66,1
2020-10-29 09:30:29,147.43,147.42,1,147.35,5,147.51,3,147.51,147.35,147.35,5,147.34,1,147.33,5,147.32,3,147.3,2,,,,,,,,,,,147.51,3,147.54,1,147.55,2,147.56,2,147.57,2,147.58,2,147.59,2,147.61,1,147.65,2,147.66,1
2020-10-29 09:30:30,147.43,147.46,1,147.35,5,147.51,3,147.51,147.35,147.35,5,147.34,1,147.33,5,147.32,3,147.3,2,,,,,,,,,,,147.51,3,147.54,1,147.55,2,147.56,2,147.57,2,147.58,2,147.59,2,147.61,1,147.65,2,147.66,1
2020-10-29 09:30:31,147.46,147.5,1,147.41,3,147.51,3,147.51,147.41,147.41,3,147.35,5,147.34,1,147.33,5,147.32,3,147.3,2,,,,,,,,,147.51,3,147.54,1,147.55,2,147.56,2,147.57,2,147.58,2,147.59,2,147.61,1,147.65,2,147.66,1
2020-10-29 09:30:32,147.515,147.52,1,147.42,3,147.61,3,147.61,147.42,147.42,3,147.41,3,147.35,5,147.34,1,147.33,5,147.32,3,147.3,2,,,,,,,147.61,3,147.62,2,147.64,6,147.65,2,147.66,1,147.77,1,147.81,1,147.85,2,147.86,3,147.87,2
2020-10-29 09:30:33,147.505,147.43,1,147.41,3,147.6,2,147.6,147.41,147.41,3,147.35,5,147.34,1,147.33,5,147.32,3,147.3,2,,,,,,,,,147.6,2,147.61,3,147.62,2,147.64,6,147.65,2,147.66,1,147.77,1,147.81,1,147.85,2,147.86,3
2020-10-29 09:30:34,147.5,147.46,1,147.43,1,147.57,2,147.57,147.43,147.43,1,147.41,3,147.35,5,147.34,1,147.33,5,147.32,3,147.3,2,,,,,,,147.57,2,147.6,2,147.61,3,147.62,2,147.64,6,147.65,2,147.66,1,147.77,1,147.81,1,147.85,2
