sim_time,mid_price,last_price,last_size,best_bid_price,best_bid_size,best_ask_price,best_ask_size,close_price_buy,close_price_sell,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size
2020-10-29 09:30:27,118.01,0.0,0,117.92,18,118.1,7,118.1,117.92,117.92,18,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,,,,,,,118.1,7,118.11,5,118.12,4,118.13,5,118.18,6,118.21,5,,,,,,,,
2020-10-29 09:30:28,118.01,0.0,0,117.92,15,118.1,7,118.1,117.92,117.92,15,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,,,,,,,118.1,7,118.11,5,118.12,4,118.13,5,118.18,6,118.21,5,,,,,,,,
2020-10-29 09:30:29,118.01,0.0,0,117.93,3,118.09,13,118.09,117.93,117.93,3,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,,,,,118.09,13,118.1,7,118.11,5,118.12,4,118.13,5,118.18,6,118.21,5,,,,,,
2020-10-29 09:30:30,118.01,0.0,0,117.93,2,118.09,18,118.09,117.93,117.93,2,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,,,,,118.09,18,118.1,7,118.11,5,118.12,4,118.13,5,118.18,6,118.21,5,,,,,,
2020-10-29 09:30:31,118.01,0.0,0,117.93,2,118.09,18,118.09,117.93,117.93,2,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,,,,,118.09,18,118.1,7,118.11,5,118.12,4,118.13,5,118.18,6,118.21,5,,,,,,
2020-10-29 09:30:32,118.01,0.0,0,117.93,2,118.09,18,118.09,117.93,117.93,2,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,,,,,118.09,18,118.1,7,118.11,5,118.12,4,118.13,5,118.18,6,118.21,5,,,,,,
2020-10-29 09:30:34,118.005,0.0,0,117.93,12,118.08,1,118.08,117.93,117.93,12,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,,,,,118.08,1,118.09,16,118.1,7,118.11,5,118.12,4,118.13,5,118.18,6,118.21,5,,,,
2020-10-29 09:30:34,118.005,117.96,1,117.95,1,118.06,25,118.06,117.95,117.95,1,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,,,118.06,25,118.09,17,118.1,7,118.11,5,118.12,4,118.13,5,118.18,6,118.21,5,,,,
2020-10-29 09:30:35,118.02,117.96,1,117.95,1,118.09,17,118.09,117.95,117.95,1,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,,,118.09,17,118.1,7,118.11,5,118.12,4,118.13,5,118.18,6,118.21,5,,,,,,
2020-10-29 09:30:36,118.02,117.96,1,117.95,1,118.09,17,118.09,117.95,117.95,1,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,,,118.09,17,118.1,7,118.11,5,118.12,4,118.13,5,118.18,6,118.21,5,,,,,,
2020-10-29 09:30:37,118.02,117.96,1,117.95,1,118.09,17,118.09,117.95,117.95,1,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,,,118.09,17,118.1,7,118.11,5,118.12,4,118.13,5,118.18,6,118.21,5,,,,,,
2020-10-29 09:30:38,118.05,118.05,2,118.01,2,118.09,17,118.09,118.01,118.01,2,117.95,1,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,118.09,17,118.1,7,118.11,5,118.12,4,118.13,5,118.18,6,118.21,5,,,,,,
2020-10-29 09:30:39,118.05,118.05,2,118.01,2,118.09,17,118.09,118.01,118.01,2,117.95,1,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,118.09,17,118.1,7,118.11,5,118.12,4,118.13,5,118.18,6,118.21,5,,,,,,
2020-10-29 09:30:40,118.05,118.05,2,118.01,2,118.09,17,118.09,118.01,118.01,2,117.95,1,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,118.09,17,118.1,7,118.11,5,118.12,4,118.13,5,118.18,6,118.21,5,,,,,,
2020-10-29 09:30:41,118.05,118.05,2,118.01,2,118.09,17,118.09,118.01,118.01,2,117.95,1,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,118.09,17,118.1,7,118.11,5,118.12,4,118.13,5,118.18,6,118.21,5,,,,,,
2020-10-29 09:30:42,118.05,118.05,2,118.01,2,118.09,17,118.09,118.01,118.01,2,117.95,1,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,118.09,17,118.1,7,118.11,5,118.12,4,118.13,5,118.18,6,118.21,5,,,,,,
2020-10-29 09:30:43,118.02,118.0,1,117.95,1,118.09,18,118.09,117.95,117.95,1,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,,,118.09,18,118.1,7,118.11,5,118.12,4,118.13,5,118.18,6,118.21,5,,,,,,
2020-10-29 09:30:44,118.12,118.0,1,117.96,6,118.28,3,118.28,117.96,117.96,6,117.95,4,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,118.28,3,,,,,,,,,,,,,,,,,,
2020-10-29 09:30:45,118.12,118.0,1,117.96,6,118.28,8,118.28,117.96,117.96,6,117.95,4,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,118.28,8,,,,,,,,,,,,,,,,,,
2020-10-29 09:30:46,118.12,118.0,1,117.96,6,118.28,8,118.28,117.96,117.96,6,117.95,4,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,118.28,8,,,,,,,,,,,,,,,,,,
2020-10-29 09:30:47,118.12,118.0,1,117.96,6,118.28,8,118.28,117.96,117.96,6,117.95,4,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,118.28,8,,,,,,,,,,,,,,,,,,
2020-10-29 09:30:48,118.12,118.0,1,117.96,6,118.28,8,118.28,117.96,117.96,6,117.95,4,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,118.28,8,,,,,,,,,,,,,,,,,,
2020-10-29 09:30:49,118.12,118.0,1,117.96,6,118.28,8,118.28,117.96,117.96,6,117.95,4,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,118.28,8,,,,,,,,,,,,,,,,,,
2020-10-29 09:30:50,118.12,118.0,1,117.96,6,118.28,8,118.28,117.96,117.96,6,117.95,4,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,118.28,8,,,,,,,,,,,,,,,,,,
2020-10-29 09:30:51,118.12,118.0,1,117.96,6,118.28,8,118.28,117.96,117.96,6,117.95,4,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,,,118.28,8,,,,,,,,,,,,,,,,,,
2020-10-29 09:30:52,118.14,118.0,1,118.0,4,118.28,8,118.28,118.0,118.0,4,117.96,6,117.95,4,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,118.28,8,,,,,,,,,,,,,,,,,,
2020-10-29 09:30:54,118.14,118.0,1,118.0,4,118.28,8,118.28,118.0,118.0,4,117.96,6,117.95,4,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,118.28,8,,,,,,,,,,,,,,,,,,
2020-10-29 09:30:54,118.14,118.0,1,118.0,3,118.28,8,118.28,118.0,118.0,3,117.96,6,117.95,4,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,118.28,8,,,,,,,,,,,,,,,,,,
2020-10-29 09:30:55,118.14,118.0,1,118.0,3,118.28,8,118.28,118.0,118.0,3,117.96,6,117.95,4,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,118.28,8,,,,,,,,,,,,,,,,,,
2020-10-29 09:30:56,118.14,118.0,1,118.0,3,118.28,8,118.28,118.0,118.0,3,117.96,6,117.95,4,117.93,11,117.92,13,117.91,7,117.87,5,117.85,5,117.83,1,117.8,6,118.28,8,,,,,,,,,,,,,,,,,,
