sim_time,mid_price,last_price,last_size,best_bid_price,best_bid_size,best_ask_price,best_ask_size,close_price_buy,close_price_sell,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,bid6_price,bid6_size,bid7_price,bid7_size,bid8_price,bid8_size,bid9_price,bid9_size,bid10_price,bid10_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,ask6_price,ask6_size,ask7_price,ask7_size,ask8_price,ask8_size,ask9_price,ask9_size,ask10_price,ask10_size
2020-10-29 09:30:27,307.195,0.0,0,306.92,3,307.47,2,307.47,306.92,306.92,3,306.91,7,306.9,4,306.89,6,306.8,1,306.79,5,306.75,1,306.72,1,306.71,4,306.66,1,307.47,2,307.48,1,307.5,1,307.51,1,307.53,3,,,,,,,,,,
2020-10-29 09:30:28,307.2,0.0,0,306.93,3,307.47,2,307.47,306.93,306.93,3,306.92,3,306.91,7,306.9,4,306.89,6,306.8,1,306.79,5,306.75,1,306.72,1,306.71,4,307.47,2,307.48,1,307.5,1,307.51,1,307.53,3,,,,,,,,,,
2020-10-29 09:30:29,307.205,0.0,0,306.94,5,307.47,2,307.47,306.94,306.94,5,306.93,5,306.92,3,306.91,7,306.9,4,306.89,6,306.8,1,306.79,5,306.75,1,306.72,1,307.47,2,307.48,1,307.5,1,307.51,1,307.53,3,,,,,,,,,,
2020-10-29 09:30:30,307.24,307.47,1,306.95,5,307.53,5,307.53,306.95,306.95,5,306.94,5,306.93,5,306.92,3,306.91,7,306.9,4,306.89,6,306.8,1,306.79,5,306.75,1,307.53,5,,,,,,,,,,,,,,,,,,
2020-10-29 09:30:31,307.47,307.68,1,307.19,1,307.75,2,307.75,307.19,307.19,1,307.05,1,306.95,5,306.94,5,306.93,5,306.92,3,306.91,7,306.9,4,306.89,6,306.8,1,307.75,2,,,,,,,,,,,,,,,,,,
2020-10-29 09:30:32,307.47,307.68,1,307.19,3,307.75,2,307.75,307.19,307.19,3,307.05,1,306.95,5,306.94,5,306.93,5,306.92,3,306.91,7,306.9,4,306.89,6,306.8,1,307.75,2,,,,,,,,,,,,,,,,,,
2020-10-29 09:30:34,307.48,307.68,1,307.21,2,307.75,2,307.75,307.21,307.21,2,307.2,5,307.19,3,307.05,1,306.95,5,306.94,5,306.93,5,306.92,3,306.91,7,306.9,4,307.75,2,,,,,,,,,,,,,,,,,,
2020-10-29 09:30:34,307.48,307.68,1,307.22,1,307.74,1,307.74,307.22,307.22,1,307.21,2,307.2,5,307.19,3,307.05,1,306.95,5,306.94,5,306.93,5,306.92,3,306.91,7,307.74,1,307.75,2,,,,,,,,,,,,,,,,
2020-10-29 09:30:35,307.48,307.68,1,307.22,4,307.74,1,307.74,307.22,307.22,4,307.21,2,307.2,5,307.19,3,307.05,1,306.95,5,306.94,5,306.93,5,306.92,3,306.91,7,307.74,1,307.75,2,,,,,,,,,,,,,,,,
2020-10-29 09:30:36,307.48,307.68,1,307.22,4,307.74,1,307.74,307.22,307.22,4,307.21,2,307.2,5,307.19,3,307.05,1,306.95,5,306.94,5,306.93,5,306.92,3,306.91,7,307.74,1,307.75,2,,,,,,,,,,,,,,,,
2020-10-29 09:30:37,307.48,307.72,1,307.22,4,307.74,1,307.74,307.22,307.22,4,307.21,2,307.2,5,307.19,3,307.05,1,306.95,5,306.94,5,306.93,5,306.92,3,306.91,7,307.74,1,307.75,2,,,,,,,,,,,,,,,,
2020-10-29 09:30:38,307.48,307.72,1,307.22,6,307.74,1,307.74,307.22,307.22,6,307.21,2,307.2,5,307.19,3,307.05,1,306.95,5,306.94,5,306.93,5,306.92,3,306.91,7,307.74,1,307.75,2,,,,,,,,,,,,,,,,
2020-10-29 09:30:39,307.48,307.72,1,307.22,7,307.74,1,307.74,307.22,307.22,7,307.21,2,307.2,5,307.19,3,307.05,1,306.95,5,306.94,5,306.93,5,306.92,3,306.91,7,307.74,1,307.75,2,,,,,,,,,,,,,,,,
2020-10-29 09:30:40,307.805,307.99,1,307.61,1,308.0,13,308.0,307.61,307.61,1,307.23,4,307.22,7,307.21,2,307.2,5,307.19,3,307.05,1,306.95,5,306.94,5,306.93,5,308.0,13,,,,,,,,,,,,,,,,,,
2020-10-29 09:30:41,308.02,308.44,2,307.6,3,308.44,2,308.44,307.6,307.6,3,307.23,4,307.22,7,307.21,2,307.2,5,307.19,3,307.05,1,306.95,5,306.94,5,306.93,5,308.44,2,308.6,1,308.64,1,308.65,1,,,,,,,,,,,,
2020-10-29 09:30:42,308.02,308.44,2,307.6,3,308.44,2,308.44,307.6,307.6,3,307.23,4,307.22,7,307.21,2,307.2,5,307.19,3,307.05,1,306.95,5,306.94,5,306.93,5,308.44,2,308.6,1,308.64,1,308.65,1,,,,,,,,,,,,
2020-10-29 09:30:43,308.025,308.44,2,307.61,2,308.44,2,308.44,307.61,307.61,2,307.6,4,307.23,4,307.22,7,307.21,2,307.2,5,307.19,3,307.05,1,306.95,5,306.94,5,308.44,2,308.6,1,308.64,1,308.65,1,,,,,,,,,,,,
2020-10-29 09:30:44,308.025,308.44,2,307.61,2,308.44,2,308.44,307.61,307.61,2,307.6,4,307.23,4,307.22,7,307.21,2,307.2,5,307.19,3,307.05,1,306.95,5,306.94,5,308.44,2,308.6,1,308.64,1,308.65,1,,,,,,,,,,,,
2020-10-29 09:30:46,308.025,308.44,2,307.61,2,308.44,2,308.44,307.61,307.61,2,307.6,4,307.23,4,307.22,7,307.21,2,307.2,5,307.19,3,307.05,1,306.95,5,306.94,5,308.44,2,308.6,1,308.64,1,308.65,1,,,,,,,,,,,,
2020-10-29 09:30:46,307.94,308.44,2,307.62,1,308.26,1,308.26,307.62,307.62,1,307.61,3,307.6,4,307.23,4,307.22,7,307.21,2,307.2,5,307.19,3,307.05,1,306.95,5,308.26,1,308.54,1,308.55,1,308.6,1,308.64,1,308.65,1,,,,,,,,
2020-10-29 09:30:47,308.03,308.44,2,307.64,4,308.42,1,308.42,307.64,307.64,4,307.63,5,307.62,4,307.61,3,307.6,4,307.23,4,307.22,7,307.21,2,307.2,5,307.19,3,308.42,1,308.6,1,308.64,1,308.65,1,,,,,,,,,,,,
2020-10-29 09:30:49,308.045,308.44,2,307.65,4,308.44,1,308.44,307.65,307.65,4,307.64,4,307.63,5,307.62,4,307.61,3,307.6,4,307.23,4,307.22,7,307.21,2,307.2,5,308.44,1,308.6,1,308.64,1,308.65,1,,,,,,,,,,,,
2020-10-29 09:30:49,308.045,308.44,2,307.65,5,308.44,1,308.44,307.65,307.65,5,307.64,4,307.63,5,307.62,4,307.61,3,307.6,4,307.23,4,307.22,7,307.21,2,307.2,5,308.44,1,308.6,1,308.64,1,308.65,1,,,,,,,,,,,,
